wosdept,realdept
" Ames, IA USA; [Sigurdsson, Bjarni D.; Oskarsson, Hlynur] Agr Univ Iceland, IS-311 Hvanneyri, Borgarnes, Iceland; [Kjartansson, Bjarki T.; Oddsdottir, Edda S.] Iceland Forest Res, IS-116 Reykjavik, Iceland; [Gunnarsdottir, Gunnhildur E.] Soil Conservat Serv Iceland, IS-851 Hella, Iceland; [Black, Andrew] Univ British Columbia, Vancouver, BC, Canada",No Data
Materials Science and Engineering,Materials Science and Engineering
" Dept Phys & Astron, 2323 Osborn Dr",Physics and Astronomy
 US DOE,Ames Laboratory 
Ames Laboratory of US DOE,Ames Laboratory 
ISU Foundation,ISU Foundation
" Ames, IA USA; [Schlingloff, Bernd-Holger] Humboldt Univ & Fraunhofer FOKUS, Berlin, Germany; [Winikoff, Michael] Victoria Univ Wellington, Wellington, New Zealand; [Yorke-Smith, Neil] Delft Univ Technol, Delft, Netherlands",No Data
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
" Dept Sociol & Criminal Justice, 510 Farm House Lane",Sociology and Criminal Justice
" Coll Vet Med, Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Sch Educ, Higher Educ",Higher Education and Student Affairs
 Aerosp Engn Dept,Aerospace Engineering
" Ivy Coll Business, Mkt",Marketing
" Lloyd Vet Med Ctr, Dept Vet Clin Sci",Veterinary Clinical Sciences
Materials Science and Engineering,Materials Science and Engineering
Pre-Business,Pre-Business
Ames Laboratory of US DOE,Ames Laboratory 
 Coll Nursing,Nursing
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Ivy Coll Business, Sales Initiat, 3185 Gerdin Business Bldg",Ivy College of Business
 Human Dev & Family Studies,Human Development and Family Studies
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
Accounting,Accounting
" Debbie & Jerry Ivy Coll Business, Mkt",Marketing
" Ames, IA USA; [Pagell, Mark] Univ Coll Dublin, Dublin, Ireland; [Dooley, Kevin J.] Arizona State Univ, Tempe, AZ 85287 USA; [Azadegan, Arash] Rutgers State Univ, Business Sch, New Brunswick, NJ USA",No Data
Ames Laboratory ,Ames Laboratory 
 Phys & Astron Dept,Physics and Astronomy
"[Jacoby, Margarite; Garland, Jasmine; Henze, Gregor] Univ Colorado, Dept Civil Environm & Architectural Engn, Boulder, CO 80309 USA; [Tan, Sin Yong; Saha, Homagni; Sarkar, Soumik] Iowa State Univ Sci & Technol, Dept Mech Engn","Civil, Construction and Environmental Engineering "
" Dept Vet Pathol, Coll Vet Med",Veterinary Pathology
" Ames, IA USA; [Tatoglu, Ekrem] Gulf Univ Sci & Technol, Dept Business Adm, Mishref, Kuwait; [Tatoglu, Ekrem] Ibn Haldun Univ, Dept Management, Istanbul, Turkey; [Golgeci, Ismail] Aarhus Univ, Sch Business & Social Sci, Dept Business Dev & Technol, Aarhus, Denmark; [Zaim, Selim] Istanbul Sabahattin Zaim Univ, Dept Ind Engn, Istanbul, Turkey",No Data
" Coll Vet Med, Dept Vet Clin Sci, Comparat Ophthalmol",Veterinary Clinical Sciences
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
" Dept Mkt, Debbie & Jerry Ivy Coll Business",Marketing
" Ames, IA 50011 USA; [Markell, Samuel] North Dakota State Univ, Fargo, ND 58102 USA; [Harveson, Robert] Univ Nebraska, Panhandle Res & Extens Ctr, Scottsbluff, NE 69361 USA",No Data
 Dept Ecol & Evolutionary Biol,"Ecology, Evolution, and Organismal Biology"
" Egg Ind Ctr, 1029 N Univ Blvd",Egg Industry Center
" Mkt, Debbie & Jerry Ivy Coll Business",Marketing
" Dept Vet Clin Sci, Coll Vet Med, 1800 Christensen Dr",Veterinary Clinical Sciences
Materials Science and Engineering,Materials Science and Engineering
Global Resource Systems,Global Resource Systems
 Human Dev & Family Studies,Human Development and Family Studies
" Ctr Multiphase Flow Res & Educ, Dept Mech Engn",Mechanical Engineering
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
 Debbie & Jerry Ivy Coll Business,Ivy College of Business
Materials Science and Engineering,Materials Science and Engineering
" Dept Genet Dev & Cell Biol, 2437 Pammel Dr","Genetics, Development, and Cell Biology"
" Ames, IA USA; [Bonanno, Anne] Miami Univ, Farmer Sch Business, Oxford, OH 45056 USA; [Boerman, Emily] Nazarbayev Univ, Nur Sultan, Kazakhstan",No Data
 Interdept Microbiol Grad Program,Interdepartmental Microbiology
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
" Ames, IA USA; [Patkos, Balazs] Moscow Inst Phys & Technol, Lab Combinatorial & Geometr Struct, Moscow, Russia",No Data
" Coll Vet Med, Dept Vet Pathol, 1600 South 16th St",Veterinary Pathology
Civil Engineering,"Civil, Construction and Environmental Engineering "
 Agr & Biosyst Engn,Agricultural and Biosystems Engineering
 Ames Lab DOE,Ames Laboratory 
Ames Laboratory of US DOE,Ames Laboratory 
Accounting,Accounting
Ames Laboratory of US DOE,Ames Laboratory 
Materials Science and Engineering,Materials Science and Engineering
 Human Dev & Family Studies,Human Development and Family Studies
" Coll Vet Med, Dept Vet Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
" Ames, IA USA; [Hart, Jonathan; Kolko, David J.] UMPC Western Psychiat Hosp, Pittsburgh, PA USA; [Schaffner, Kristen F.] Calif Univ Penn, Psychol Dept, California, PA USA; [Mrozowski, Stanley] Childrens Bur, Harrisburg, PA USA",No Data
" Sch Educ, Ctr Technol Learning & Teaching",Center for Technology in Learning and Teaching
Liberal Studies,Liberal Studies
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
"[O'Neil, Kandi] Univ Wisconsin, Div Extens, Madison, WI USA; [Vettern, Rachelle] North Dakota State Univ Extens, Fargo, ND 58108 USA; [McGlaughlin, Patricia] Univ Illinois Extens, 4H Youth Dev, Champaign, IL USA; [Harrington, Rebecca] Univ Minnesota, Extens Ctr Youth Dev, Moorhead, MN USA; [Maass, Sarah] Kansas State Univ Res & Extens, 4H Youth Dev, Salina, KS USA; [Grant, Samantha] Univ Minnesota, Extens Ctr Youth Dev, Rochester, MN USA; [Good, Tillie] Iowa State Univ Extens & Outreach, 4H Youth Dev",No Data
" Dept Ecol Evolut & Organismal Biol, 251 Bessey Hall","Ecology, Evolution, and Organismal Biology"
" Dept Math, 411 Morrill Rd",Mathematics
Materials Science and Engineering,Materials Science and Engineering
" Ames, IA USA; [Prado, Guillermo] Univ Miami, Sch Nursing & Hlth Studies, Miami, FL USA; [Hawkins, J. David] Univ Washington, Social Dev Res Grp, Seattle, WA 98195 USA",No Data
" Coll Vet Med, Dept Vet Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
" Dept Math, 411 Morrill Rd",Mathematics
Ames Laboratory of US DOE,Ames Laboratory 
" Dept Agron, 1223 Agronomy Hall",Agronomy
 Dept Human Dev & Family Studies,Human Development and Family Studies
" Dept Entomol, 2005 ATRB",Entomology
 Dept Comp Sci,Computer Science
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
" Ames, IA USA; [Chen, Sylvia Xiaohua] Hong Kong Polytech Univ, Hong Kong, Peoples R China; [Lau, Victor C. Y.] Hong Kong Baptist Univ, Hong Kong, Peoples R China; [Ng, Hilary K. Y.] Chinese Univ Hong Kong, Hong Kong, Peoples R China; [Gunsoy, Ceren] Clemson Univ, Clemson, SC 29631 USA",No Data
" Dept Architecture, Coll Design",Architecture
Ames Laboratory ,Ames Laboratory 
"[Lind, Kara R.; Siemianowski, Oskar; Sizmur, Tom; VanEvery, Hannah; Banerjee, Souvik; Cademartiri, Ludovico] Iowa State Univ Sci & Technol, Dept Mat Sci & Engn",Materials Science and Engineering
 Coll Educ,College of Education
" Dept Agr & Biosyst Engn, Iowa Nutrient Res Ctr",Agricultural and Biosystems Engineering
"Apparel, Events, and Hospitality Management","Apparel, Events, and Hospitality Management"
 CryoEM Facil,No Data
Computer Engineering,Electrical and Computer Engineering
" Ames, IA USA; [Kiffner, Christian] Sch Field Studies, Ctr Wildlife Management Studies, Karatu, Tanzania",No Data
Materials Science and Engineering,Materials Science and Engineering
" Coll Vet Med, Dept Vet Diagnost & Prod Anim Med",Veterinary Diagnostic and Production Animal Medicine
Materials Science and Engineering,Materials Science and Engineering
 Dept Comp Sci,Computer Science
 Genome Informat Facil,"Genetics, Development, and Cell Biology"
" Ames, IA 50011 USA; [Meier, Robert F.] Amer Sociol Assoc, Washington, DC 20005 USA; [Meier, Robert F.] Midwest Sociol Soc, Omaha, NE 68182 USA; [Meier, Robert F.] Amer Soc Criminol, Columbus, OH 43221 USA; [Meier, Robert F.] Acad Criminal Justice Sci, Greenbelt, MD 20770 USA; [Meier, Robert F.] Natl Sci Fdn, 4201 Wilson Blvd, Arlington, VA 22230 USA; [Meier, Robert F.] CNR, Ottawa, ON, Canada; [Meier, Robert F.] Natl Inst Justice, Washington, DC 20531 USA",No Data
Animal Ecology,Animal Ecology
 Dept Nat Resources Ecol & Management,Natural Resource Ecology and Management
" Ames, IA 50011 USA; [Hill, Evin L.] Germanna Community Coll, Fredericksburg, VA 22408 USA; [Arcot, Nina R.] Princeton Univ, Princeton, NJ 08544 USA",No Data
 Ecol Evolut & Organismal Biol,"Ecology, Evolution, and Organismal Biology"
 Human Dev & Family Studies,Human Development and Family Studies
" Ames, IA USA; [O'Neil, Kandi] Univ Wisconsin, Madison, WI 53706 USA; [Maass, Sarah] Kansas State Univ, Manhattan, KS 66506 USA; [Vettern, Rachelle] North Dakota State Univ, Fargo, ND USA; [McGlaughli, Patricia] Univ Illinois, Chicago, IL 60680 USA",No Data
 Coll Vet Med,College of Veterinary Medicine
Materials Science and Engineering,Materials Science and Engineering
" Dept Vet Clin Sci, Coll Vet Med",Veterinary Clinical Sciences
 Biomed Sci Dept,Biomedical Sciences
" Ctr Excellence Learning & Teaching, Teaching Certificate Programs",Center for Excellence in Learning and Teaching
 Ind & Mfg Syst Engn,Industrial and Manufacturing Systems Engineering
" ISU, Vet Microbiol & Prevent Med Program",Veterinary Microbiology and Preventive Medicine
Accounting,Accounting
" Dept Ecol Evolut & Organismal Biol, 2200 Osborn Dr","Ecology, Evolution, and Organismal Biology"
Materials Science and Engineering,Materials Science and Engineering
 Genome Informat Facil,"Genetics, Development, and Cell Biology"
Ames Laboratory ,Ames Laboratory 
 NSF Engn Res Ctr Biorenewable Chem,Chemistry
" Ames, IA USA; [Doss, Brian D.] Univ Miami, Coral Gables, FL 33124 USA; [Simpson, Jeffry A.] Univ Minnesota, Minneapolis, MN 55455 USA",No Data
" Ames, IA USA; [Georgiou, Tryphon T.] Univ Calif Irvine, Dept Mech & Aerosp Engn, Irvine, CA 92697 USA; [Georgiou, Tryphon T.] Florida Atlantic Univ, Boca Raton, FL 33431 USA; [Georgiou, Tryphon T.] Univ Minnesota, Minneapolis, MN 55455 USA; [Georgiou, Tryphon T.] Royal Swedish Acad Engn Sci, Stockholm, Sweden; [Pavon, Michele] LADSEB CNR, Padua, Italy; [Pavon, Michele] Univ Padua, Sch Engn, I-35121 Padua, Italy",No Data
Materials Science and Engineering,Materials Science and Engineering
 Elect & Comp Engn Dept,Electrical and Computer Engineering
 Dept Comp Engn,Computer Science
 Elect & Comp Engn Dept,Electrical and Computer Engineering
" Stress Physiol Invest Team, Human Dev & Family Studies",Human Development and Family Studies
" Dept Mat Sci & Engn, 2220BP Hoover Hall,528 Bissell Rd",Materials Science and Engineering
" Dept Biomed Sci, 2008 Vet Med",Biomedical Sciences
" Ames, IA 50011 USA; [Scogland, Thomas] Lawrence Livermore Natl Lab, Livermore, CA 94550 USA; [Boehm, Swen; Budiardja, Reuben; Eisenbach, Markus; Hernandez, Oscar; Huber, Joseph; Kent, Paul R. C.; Pophale, Swaroop] Oak Ridge Natl Lab, One Bethel Valley Rd, Oak Ridge, TN 37830 USA; [Tian, Shilei] SUNY Stony Brook, Stony Brook, NY 11794 USA; [Luszczek, Piotr] Univ Tennessee, Knoxville, TN 37996 USA",No Data
 Dept Human Dev & Family Studies,Human Development and Family Studies
" Dept Agron, Agron Hall",Agronomy
" Coll Vet Med, Dept Vet Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
 Bioecon Inst,Bioeconomy Institute
" Dept Biomed Sci, Coll Vet Med",Biomedical Sciences
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
Ames Laboratory ,Ames Laboratory 
 Dept Geol & Atmosphere Sci,Geological and Atmospheric Sciences
" Dept Clin Sci, Coll Vet Med",Veterinary Clinical Sciences
 Bioinformat & Computat Biol Undergrad Program,Bioinformatics and Computational Biology
 3208 Agron Hall,Agronomy
 Iowa Nutrient Res Ctr,Agricultural and Biosystems Engineering
" Ames, IA USA; [Gioe, Antonio; Wolter, Kayanna; Wood, Michael; O'Neal, Benjamin J.] Franklin Coll, Franklin, IN USA; [Greider-Wagner, Macayla] Univ Wisconsin, Coll Nat Resources, Stevens Point, WI USA; [Jen, Devin] Univ Illinois, Havana, IL USA; [Johnson, Cody] Eureka Coll, Eureka, IL USA; [Larreur, Max R.] Florida Fish & Wildlife Conservat Commiss, Ft Myers, FL USA; [Shaw, Abigail] Indiana Univ, Bloomington, IN USA; [Wu, Daniel K.] Univ Michigan, Ann Arbor, MI 48109 USA; [Hagy, Heath M.] US Fish & Wildlife Serv, Stanton, TN USA",No Data
Ames Laboratory ,Ames Laboratory 
" Dept Agron, 716 Farm House Ln",Agronomy
" Debbie & Jerry Ivy Coll Business, Mkt & GA",Marketing
Ag & Life Sci Administration,College of Agricultural and Life Sciences
" Ames, IA 50011 USA; [Canizares, Claudio] Univ Waterloo, Waterloo, ON, Canada; [Erlich, Istvan] Univ Duisburg Essen, D-47057 Duisburg, Germany; [Hill, David] Univ Hong Kong, Hong Kong, Peoples R China; [Hiskens, Ian] Univ Michigan, Ann Arbor, MI 48109 USA; [Kamwa, Innocent] Hydroquebecs Res Inst, Varennes, PQ J3X 1S1, Canada; [Pal, Bikash] Imperial Coll Sci Tecnol & Med, London SW7 2BT, England; [Pourbeik, Pouyan] Power & Energy Anal Consulting & Educ PLLC, Flower Mound, TX 75028 USA; [Sanchez-Gasca, Juan] GE Co, Schenectady, NY 12345 USA; [Stankovic, Aleksandar] Tufts Univ, Medford, MA 02155 USA; [Van Cutsem, Thierry] Univ Liege, B-4000 Liege, Belgium; [Vittal, Vijay] Arizona State Univ, Tempe, AZ 85287 USA; [Vournas, Costas] Natl Tech Univ Athens, Papagou 15669, Greece",No Data
" Ames, IA USA; [Schwartzkopf-Genswein, Karen] Agr & Agri Food Canada, Ottawa, ON, Canada; [Stephenson, Mark] Univ Wisconsin, Madison, WI USA; [Thompson, Jada] Univ Tennesee, Knoxville, TN USA",No Data
 Dept Natl Resources & Management,Natural Resource Ecology and Management
Civil Engineering,"Civil, Construction and Environmental Engineering "
 Agr & Biosyst Engn,Agricultural and Biosystems Engineering
" Ames, IA USA; [Visbal, Elijah] Univ Toledo, Dept Phys & Astron, Toledo, OH 43606 USA",Physics and Astronomy
" Ames, IA USA; [Gerber, James] Univ Minnesota, Inst Environm, Minneapolis, MN USA; [Tian, Hanqin] Auburn Univ, Int Ctr Climate & Global Change Res, Auburn, AL USA; [Bruulsema, Tom] Plant Nutr Canada, Guelph, ON, Canada; [Maaz, Tai McClellan] Univ Hawaii Manoa, Honolulu, HI 96822 USA; [Maaz, Tai McClellan] Washington State Univ, Dept Crop & Soil Sci, Seattle, WA USA; [Nishina, Kazuya] Natl Inst Environm Studies, Tsukuba, Ibaraki, Japan; [Bodirsky, Benjamin Leon; Popp, Alexander] Potsdam Inst Climate Impact Res, Potsdam, Germany; [Bodirsky, Benjamin Leon; Popp, Alexander] Leibniz Assoc, Potsdam, Germany; [Bouwman, Lex; Beusen, Arthur] PBL Netherlands Environm Assessment Agcy, The Hague, Netherlands; [Bouwman, Lex; Beusen, Arthur] Univ Utrecht, Fac Geosci, Dept Earth Sci Geochem, Utrecht, Netherlands; [Bouwman, Lex] Ocean Univ China, Key Lab Marine Chem Theory & Technol, Minist Educ, Qingdao, Peoples R China; [Chang, Jinfeng; Havlik, Petr; Leclere, David] Int Inst Appl Syst Anal IIASA, Biodivers & Nat Resources BNR Program, Laxenburg, Austria; [Chang, Jinfeng] Zhejiang Univ, Coll Environm & Resource Sci, Hangzhou, Peoples R China; [Canadell, Josep G.] CSIRO Oceans & Atmosphere, Global Carbon Project, Canberra, ACT, Australia; [Jackson, Robert B.] Stanford Univ, Dept Earth Syst Sci, Stanford, CA USA; [Heffer, Patrick] Int Fertilizer Assoc, Paris, France; [Zhang, Weifeng] China Agr Univ, Beijing, Peoples R China",No Data
 Plant Sci Inst,Plant Science Insitute
Ames Laboratory of US DOE,Ames Laboratory 
Construction Engineering,"Civil, Construction and Environmental Engineering "
" Dept Phys & Astron, 12 Phys Hall",Physics and Astronomy
" Ecol Evolut & Organismal Biol, 2200 Osborn Dr","Ecology, Evolution, and Organismal Biology"
 Plant Sci Inst,Plant Science Insitute
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
" Ames, IA 50011 USA; [Davanzo, Gustavo Gastao; Moraes-Vieira, Pedro M.] Univ Estadual Campinas, Sao Paulo, Brazil; [Galeano, Diego; Paccanaro, Alberto] Fundacao Getulio Vargas, Rio De Janeiro, Brazil; [Galeano, Diego] Natl Univ Asuncion, San Lorenzo, Central, Paraguay; [Paccanaro, Alberto] Univ London, Egham Hill, Egham, Surrey, England; [Meinig, Suzanne L.; Hagan, Robert S.; Bowman, Natalie M.; Wolfgang, Matthew C.; Altinok, Selin; Schisler, Jonathan C.; UNC COVID-19 Pathobiol Consortium] Univ N Carolina, Chapel Hill, NC 27599 USA; [Sapoval, Nicolae; Treangen, Todd J.] Rice Univ, Houston, TX 77005 USA; [Vanderburg, Charles; Beheshti, Afshin] Broad Inst MIT & Harvard, Cambridge, MA 02142 USA; [Mason, Christopher E.] New York Genome Ctr, New York, NY USA; [Beheshti, Afshin] NASA, KBR",No Data
Construction Engineering,"Civil, Construction and Environmental Engineering "
 Dept Chem & Ames Lab,Chemistry
 Dept Vet Microbiol & Prevent Med,Veterinary Microbiology and Preventive Medicine
" Coll Agr & Life Sci, Dept Anim Sci",College of Agricultural and Life Sciences
" Ames, IA 50011 USA; [Xia, D. M.] Chongqing Univ, Chongqing 401331, Peoples R China; [Hans, S.] CUNY Bronx Community Coll, Dept Chem & Chem Technol, Bronx, NY 10453 USA",No Data
" Ames, IA 50011 USA; [Xia, D. M.] Chongqing Univ, Chongqing 401331, Peoples R China; [Hans, S.] CUNY Bronx Community Coll, Now Dept Chem & Chem Technol, Bronx, NY 10453 USA",No Data
 Dept Genet Dev & Cell Biol,"Genetics, Development, and Cell Biology"
